Date,temperature_2m_max_run_00Z_hrrr,temperature_2m_min_run_00Z_hrrr,temperature_2m_mean_run_00Z_hrrr,relative_humidity_2m_mean_run_00Z_hrrr,cloud_cover_mean_run_00Z_hrrr,precipitation_sum_run_00Z_hrrr,wind_speed_10m_max_run_00Z_hrrr,wind_speed_10m_mean_run_00Z_hrrr,temperature_850mb_mean_run_00Z_hrrr,dew_point_2m_mean_run_00Z_hrrr,msl_pressure_mean_run_00Z_hrrr,ground_heat_flux_mean_run_00Z_hrrr,precipitable_water_mean_run_00Z_hrrr,downward_shortwave_mean_run_00Z_hrrr,boundary_layer_height_mean_run_00Z_hrrr,temperature_2m_max_run_06Z_hrrr,temperature_2m_min_run_06Z_hrrr,temperature_2m_mean_run_06Z_hrrr,relative_humidity_2m_mean_run_06Z_hrrr,cloud_cover_mean_run_06Z_hrrr,precipitation_sum_run_06Z_hrrr,wind_speed_10m_max_run_06Z_hrrr,wind_speed_10m_mean_run_06Z_hrrr,temperature_850mb_mean_run_06Z_hrrr,dew_point_2m_mean_run_06Z_hrrr,msl_pressure_mean_run_06Z_hrrr,ground_heat_flux_mean_run_06Z_hrrr,precipitable_water_mean_run_06Z_hrrr,downward_shortwave_mean_run_06Z_hrrr,boundary_layer_height_mean_run_06Z_hrrr,temperature_2m_max_run_12Z_hrrr,temperature_2m_min_run_12Z_hrrr,temperature_2m_mean_run_12Z_hrrr,relative_humidity_2m_mean_run_12Z_hrrr,cloud_cover_mean_run_12Z_hrrr,precipitation_sum_run_12Z_hrrr,wind_speed_10m_max_run_12Z_hrrr,wind_speed_10m_mean_run_12Z_hrrr,temperature_850mb_mean_run_12Z_hrrr,dew_point_2m_mean_run_12Z_hrrr,msl_pressure_mean_run_12Z_hrrr,ground_heat_flux_mean_run_12Z_hrrr,precipitable_water_mean_run_12Z_hrrr,downward_shortwave_mean_run_12Z_hrrr,boundary_layer_height_mean_run_12Z_hrrr,temperature_2m_max_run_18Z_hrrr,temperature_2m_min_run_18Z_hrrr,temperature_2m_mean_run_18Z_hrrr,relative_humidity_2m_mean_run_18Z_hrrr,cloud_cover_mean_run_18Z_hrrr,precipitation_sum_run_18Z_hrrr,wind_speed_10m_max_run_18Z_hrrr,wind_speed_10m_mean_run_18Z_hrrr,temperature_850mb_mean_run_18Z_hrrr,dew_point_2m_mean_run_18Z_hrrr,msl_pressure_mean_run_18Z_hrrr,ground_heat_flux_mean_run_18Z_hrrr,precipitable_water_mean_run_18Z_hrrr,downward_shortwave_mean_run_18Z_hrrr,boundary_layer_height_mean_run_18Z_hrrr
2021-04-01,18.678826904296898,-2.0573486328124773,7.337646805612687,21.33099453072799,0.0,0.0,18.5258844703792,10.777161012450478,8.686282830489347,-15.183640811317844,1024.5365460526316,-42.72247485110634,3.0013019034737036,372.31696359734786,636.230663098787,18.993707275390648,-2.1522583007812273,8.489200846354189,18.64953702688217,0.0,0.0,16.819586023746595,11.348932989683874,10.64971822102865,-16.039001846313454,1021.46703125,-19.120369791984558,2.9690806368986764,296.3361161549886,611.4254442850748,18.679895019531273,-2.6723693847656023,8.017544047037783,20.550000270207722,0.0,0.0,16.958945156676744,11.24557201852285,10.143140411376976,-15.29597384134928,1021.3598697916667,-17.638888279596966,3.10215691725413,295.63194370269775,579.395825544993,19.592309570312523,-2.5054687499999773,9.114943440755232,18.516203502813976,0.0,0.0,23.683732168628843,13.05292286134983,10.950419362386071,-15.841477457682288,1020.5185709635417,-23.101852138837177,3.0773023863633475,295.7842580477397,695.6098979314169
2021-04-02,23.738824462890648,5.817468261718773,14.38680259303045,12.042689975939298,68.62573088313404,0.0,17.4298640644017,10.567206617594,17.86231785824424,-14.574105192485604,1010.7483634868421,-45.87719214589972,5.823895642631932,328.9204639635588,1504.2989594308954,23.239648437500023,5.842767333984398,14.42435989379885,13.131481568018595,65.51851836840312,0.0,18.672896552803014,10.800241853387794,18.046749369303427,-13.537502034505167,1010.79236328125,-20.42592626810074,6.127426614363988,237.944446404775,1178.5668171246846,23.049340820312523,5.152001953125023,13.739555613199892,17.438425699869793,57.24537022908529,0.017555555794388056,21.873171922759184,11.49069953678154,17.47810516357424,-10.528461201985635,1011.0584244791667,-18.287037293116253,7.2073447207609815,242.6277821858724,1052.7159148852031,22.564660644531273,5.166436767578148,13.973358408610048,11.718055427074432,55.31018481217325,0.0,15.46564025099723,11.825590754260235,17.881875610351585,-15.795107269287087,1011.1266666666667,-18.95370360215505,4.541334281365077,261.8023090362549,1099.580263932546
2021-04-03,24.832421875000023,5.472680664062523,15.251025069387358,12.749707372565018,16.760233966143506,0.0,17.64863187975708,10.438743645132059,19.10643439041945,-14.724568899054248,1013.5370230263158,-42.14035074334396,4.1340978773016674,372.0941563656456,1379.2406999688399,24.737573242187523,5.383569335937523,15.312164560953798,12.05046276251475,13.11574079375714,0.0,17.626936992090247,10.681829977268757,19.11648076375326,-14.644453430175759,1013.6389876302082,-18.671297152837116,4.5763250688711805,296.49721972147626,1139.492756843567,24.636621093750023,5.683526611328148,15.40293909708661,13.220833559830984,12.47222219593823,0.0,13.569435592431304,10.281853071264843,19.165863291422568,-14.149230066935218,1013.3083333333333,-19.56944481531779,4.622879763444264,297.82454172770184,1107.565621137619,24.973870849609398,6.085656738281273,15.588426208496116,12.367129564285278,9.231481587514281,0.0,15.642629144491982,10.652645939247842,19.448637898763025,-14.05652020772294,1013.2841666666667,-20.527777989705402,4.768326163291931,296.33703724543255,1120.713164806366
2021-04-04,25.911950683593773,7.956323242187523,17.6249151932566,12.501754208614951,58.2690062083696,0.0,21.637851527597732,12.169467139336389,20.873215846011533,-12.091023977179248,1008.8050863486843,-39.48537881750809,6.2290702619050675,341.87251502589174,1772.381681743421,25.748803710937523,7.429956054687523,17.38099060058596,11.611111064751944,58.55555557335416,0.0,15.314978890844731,10.50562960020646,21.051107025146507,-13.12849655151365,1008.3593522135417,-19.189814547697704,5.743477761745453,286.1759297649066,1610.6016726493835,25.247125244140648,7.132714843750023,16.732729848225933,14.815277854601542,56.68518543491761,0.0,21.840534523072186,11.393981988737693,20.584907786051474,-10.580393218994118,1008.9007389322917,-16.861110607783,6.762759904066722,276.3032426039378,1300.513689994812,25.281091308593773,8.328363037109398,17.444722747802757,13.93240737915039,65.45370395978291,0.0,17.81589373450105,12.331279532103244,21.04111760457357,-10.681721750895179,1008.5268522135417,-16.361110885938007,7.018371164798737,267.98704266548157,1433.1761282285054
2021-04-05,25.693078613281273,8.860864257812523,17.70120110762749,13.567251280734414,56.52046793385556,0.0,15.314506858946023,10.78471610808201,21.753095446134864,-11.927618408203102,1000.7594654605263,-36.77192918877853,5.802738290084036,347.05789395382527,1996.2603113274824,25.785180664062523,9.339746093750023,17.396518961588566,11.596759378910065,59.05555528278152,0.0,22.55244695622082,14.578670606942865,21.71898676554366,-14.047978464762366,999.8981966145833,-13.574073513348898,5.011321624120076,259.2990752061208,1831.6150155067444,26.215173339843773,9.587060546875023,17.50741602579755,13.332870304584503,60.52314851991832,0.0,21.36001515834768,13.480022668970667,21.709387715657556,-12.133297983805335,1000.12708984375,-14.763888120651245,5.9893203775087995,260.37685147921246,1685.51411708196,26.380456542968773,9.450738525390648,17.74974339803062,12.415740668773651,54.75925913577279,0.0,25.62215724031856,14.5862913929522,21.825298563639365,-12.764008585611975,1000.309912109375,-13.356481313705444,5.563650031884511,252.4444477558136,1712.3576364517212
2021-04-06,14.717767333984398,4.084497070312523,9.705508904708083,37.72456098857679,21.590643205140765,0.0,31.63251715976049,16.762141518748546,11.914104582134087,-5.282737009148832,1001.2974835526315,-0.3508777618408203,7.040483876278526,342.6602355555484,951.772370990954,13.551202392578148,1.1527343750000227,7.832042948404971,45.9180551369985,42.43981453279654,0.9694444696651772,33.081412570994125,18.39182597425579,9.925186411539755,-5.209458414713538,1004.876162109375,30.1388884584109,7.435364772876103,271.1101858615875,790.1234016418457,13.953637695312523,1.4187866210937727,7.785292561848981,49.115277568499245,41.87037027130524,1.3495555414410774,33.358285105424585,17.651983990240506,9.896624501546228,-4.049377187093057,1004.3697721354167,30.384259184201557,7.838731209437053,266.65046588579816,695.7513310114542,15.173242187500023,1.2716308593750227,8.052822367350283,50.271296660105385,39.648148293296494,2.7957779128628317,46.21375984230852,16.070058079166213,10.381958262125693,-3.4982259114582916,1003.5913020833333,37.71759192148844,7.689661274353663,238.42314795653024,750.468962987264
2021-04-07,14.758569335937523,-0.40030517578122726,5.475036942331437,64.81695857800935,77.71929818705509,0.05433333362452686,29.653517927263525,16.518630573870958,6.196054880242627,-2.546352667557528,1015.5257976973684,-9.9181278128373,9.046656859548468,291.5754354376542,1139.3927612304688,14.121087646484398,0.27297363281252274,6.682720438639346,56.86388929684957,67.47222222263615,0.500666679959977,34.44238724956506,18.104668766088427,8.142030334472679,-2.801866912841774,1014.883525390625,4.148148509363334,9.05463037888209,222.36759305000305,981.0736192067465,13.914086914062523,0.6473632812500227,6.077142333984398,64.70462830861409,73.10185179114342,2.9588888616417535,26.442430025105775,17.305550585281097,7.596326446533226,-1.3188423156738054,1015.15638671875,8.39123910665512,9.618195315202078,201.67499585946402,889.1582005818685,14.659967041015648,0.6153198242187727,6.56595637003583,63.42638969421387,71.32870371919125,0.35677777940873057,23.435473191952966,14.43017174990925,8.154178873697958,-1.5820729573567291,1014.233515625,5.592592159907023,9.240651249885559,217.88935208320618,985.6199442545573
2021-04-08,20.490991210937523,3.0147033691406477,11.00259913394328,25.29649107079757,36.087719666330436,0.0,31.9957411463755,14.2761986786618,14.705828536184242,-10.251909436677636,1005.4735649671052,-35.836258135343854,4.909995330007453,380.7438551250257,1546.4383486697548,19.440484619140648,2.5578857421875227,10.955710347493513,21.692129413286846,7.199074225500226,0.0,34.785308254214286,17.3251226312123,14.9996327718099,-12.026498540242471,1004.7050944010417,-8.157408118247986,4.520184109608333,307.57593234380084,1387.7660128275554,19.864923095703148,2.6708618164062727,10.940250651041689,24.598611017068226,30.537037008752424,0.0,30.05500378586477,14.15126172635761,15.126757558186853,-10.468342844645179,1005.1071809895833,-10.3215043147405,4.691309541463852,298.7537047068278,1417.41024128596,20.074517822265648,2.4586425781250227,11.003606414794945,24.207870880762737,33.0185188340644,0.0,34.55986937598719,13.427595027387147,15.144483184814476,-10.799921417236305,1004.879638671875,-10.828703582286835,4.757003883520762,305.7916685740153,1486.528221130371
2021-04-09,7.861932373046898,2.2778564453125227,5.7047989694695955,25.946199216340716,15.912280817565165,0.0,47.27428979605464,26.66006164016396,7.752183131167783,-12.659066933079771,1015.3301233552633,10.099415114051418,4.240397628984954,383.83626014307924,1327.6898273668792,8.509057617187523,0.6585632324218977,5.286721801757835,23.43240757783254,6.041666616375248,0.0,40.49323349563921,22.991322417438113,7.463104502360068,-13.928415679931618,1015.9509733072917,24.087963183720905,3.9505598147710166,311.8648165067037,1145.2607955932617,10.005487060546898,1.5953613281250227,6.14621760050458,24.166203498840332,0.027777778605620067,0.0,44.06966627971845,19.536098006698975,8.507325744628929,-12.9260429382324,1013.481015625,21.000000367561977,4.162507951259613,312.4574071566264,817.1188572247823,9.556054687500023,1.3906494140625227,6.068126932779971,23.789814829826355,0.7314814950029055,0.0,40.18213154636872,21.38911190545757,8.191082255045615,-13.12266133626298,1014.1855891927083,22.18805964787801,3.890529990196228,312.04306109746295,865.1951077779134
2021-04-10,19.569207763671898,-3.0222839355468523,8.048230944181766,24.736841954683,8.824561196722483,0.0,23.2573971780879,11.555161402358175,10.606673712479449,-14.150602320620862,1008.4793050986842,-33.68635850203665,3.740101638593172,387.23099015888414,1326.7837271439403,19.585321044921898,-2.7458251953124773,9.093522644042991,22.127778271834057,2.231481408700347,0.0,30.72059839976198,14.027405884173762,12.468128458658896,-14.816209538777628,1006.6458854166667,-10.268518686294556,3.7468142012755075,314.8856484095256,1297.5286561648052,19.480157470703148,-2.6236633300781023,8.84782435099286,25.142129600048065,0.9583333162590861,0.0,29.986768122674388,12.039010233776432,12.009660339355491,-13.698472086588538,1007.1895377604167,-10.63888967037201,3.990630308787028,314.34398126602173,1164.4342365264893,19.319512939453148,-2.1745971679687273,8.809426879882835,27.899537185827892,0.9305555820465088,0.0,20.683957965692457,10.898240347783002,11.817533111572288,-12.67437909444169,1007.3587076822918,-12.201313316822052,4.208971053361893,313.0601814587911,1191.5359110832214
