Date,temperature_2m_max_run_00Z_icon,temperature_2m_min_run_00Z_icon,temperature_2m_mean_run_00Z_icon,cloud_cover_mean_run_00Z_icon,precipitation_sum_run_00Z_icon,wind_speed_10m_max_run_00Z_icon,wind_speed_10m_mean_run_00Z_icon,msl_pressure_mean_run_00Z_icon,dew_point_2m_mean_run_00Z_icon,temperature_2m_max_run_06Z_icon,temperature_2m_min_run_06Z_icon,temperature_2m_mean_run_06Z_icon,cloud_cover_mean_run_06Z_icon,precipitation_sum_run_06Z_icon,wind_speed_10m_max_run_06Z_icon,wind_speed_10m_mean_run_06Z_icon,msl_pressure_mean_run_06Z_icon,dew_point_2m_mean_run_06Z_icon,temperature_2m_max_run_12Z_icon,temperature_2m_min_run_12Z_icon,temperature_2m_mean_run_12Z_icon,cloud_cover_mean_run_12Z_icon,precipitation_sum_run_12Z_icon,wind_speed_10m_max_run_12Z_icon,wind_speed_10m_mean_run_12Z_icon,msl_pressure_mean_run_12Z_icon,dew_point_2m_mean_run_12Z_icon,temperature_2m_max_run_18Z_icon,temperature_2m_min_run_18Z_icon,temperature_2m_mean_run_18Z_icon,cloud_cover_mean_run_18Z_icon,precipitation_sum_run_18Z_icon,wind_speed_10m_max_run_18Z_icon,wind_speed_10m_mean_run_18Z_icon,msl_pressure_mean_run_18Z_icon,dew_point_2m_mean_run_18Z_icon
2026-02-11,9.033746337890648,6.063287353515648,7.370877838134788,98.8311637242635,100.71506118774414,17.489920216202844,8.168980046428734,983.6936490885417,6.779700215657556,9.197869873046898,5.642633056640648,7.205239868164085,98.90200901031494,74.80230110883713,18.519545464658776,8.849770158344601,983.2891178385418,6.545072174072288,8.833184814453148,5.902642822265648,7.224715169270856,98.74519888559978,138.42024797201157,17.527688508967323,8.697287694307397,982.9147102864583,6.6325915018717865,8.840112304687523,6.172387695312523,7.341971333821637,98.69228331247966,109.75748813152313,17.621232619616677,9.437668066187728,982.1199739583333,6.767205810546898
2026-02-12,9.339349365234398,3.8957458496093977,6.441234842936221,94.53701861699422,132.67730045318604,18.69858108967466,10.062151367777345,981.1141048177083,5.4083966573079465,9.823205566406273,5.015191650390648,6.66028747558596,95.3712116877238,90.38606834411621,22.767788638093002,12.13693009045094,980.0963899739583,5.078548685709677,8.480004882812523,5.425469970703148,6.649625396728538,98.64925130208333,127.73372507095337,23.410604628419414,11.980606120179836,980.1524674479167,5.443957265218103,8.851007080078148,3.4765869140625227,6.9190231323242415,99.03083451588948,72.52159208059311,19.23590274332427,10.262336254145714,979.0167252604167,6.066787974039755
2026-02-13,3.7308288574218977,0.17080078125002274,1.6027707417806216,99.11292870839436,134.79926252365112,16.808993032923347,13.26934811217921,993.6475651041667,0.19660720825197586,3.6232543945312727,-0.05390014648435226,1.7271222432454654,97.94986089070638,54.34591996669769,16.109418043926652,12.362135785984554,994.2440625,0.3132733662923215,4.302087402343773,0.16637573242189774,1.8572364807129134,98.59129969278972,18.50325509905815,17.956833746243888,13.318561573477444,994.2058072916667,-0.010490163167276023,3.8435302734375227,0.24468383789064774,1.9608983357747622,98.73353417714436,6.884006233885884,17.84909152799233,13.509143604805606,993.2977376302083,0.03575668334963211
2026-02-14,2.6804138183593977,-1.1824707031249773,0.5702618916829655,55.0323259520034,2.8446180671453476,18.41400082053997,13.39038346869777,1010.82052734375,-3.7425725301106354,3.0334716796875227,-1.3073486328124773,0.6685145060221581,54.94026645024618,2.077907972037792,17.55331645292079,12.0492330219195,1011.5125846354167,-3.781542205810524,3.0747924804687727,-1.0210327148437273,0.5941965738932519,50.23101118206978,0.0726996508310549,18.115472749127385,11.939125700135326,1011.620185546875,-3.6455355326334598,3.1422668457031477,-0.9235900878906023,0.6430628458659081,49.16007452085614,0.06553819323016796,18.624562646768393,12.279562982520375,1011.8273600260417,-3.6400207519531023
2026-02-15,2.2861572265625227,-1.5393127441406023,0.0015045166015852374,92.36710580190022,27.40972216054797,24.983740617077558,16.49015107395974,1010.0206184895833,-3.0484642028808366,2.3656250000000227,-1.5736145019531023,-0.05417226155596685,91.104989528656,35.95442721247673,25.43042310374329,16.873869197674875,1008.6599088541667,-3.1374216715494754,2.6436706542968977,-1.8315185546874773,-0.08646240234372726,91.92482256889343,36.43185770511627,23.936697122707855,16.665681991298246,1009.334697265625,-2.8802182515461823,2.8310485839843977,-2.0317749023437273,-0.12807184855140955,91.73537000020345,34.112412836402655,25.122694469114048,17.031355702527414,1009.0665299479167,-2.8013328552245866
2026-02-16,6.689080810546898,0.24636230468752274,3.742602284749372,86.08427333831787,189.50216913223267,20.645175890021346,11.805990741177212,995.3960221354167,2.2331151326497434,6.677301025390648,0.5059143066406477,4.30088068644208,88.18327776590984,212.53190279006958,21.866538852600453,13.989982037017022,993.9963313802083,2.5232088724772552,6.615899658203148,0.6679931640625227,4.548663075764996,87.52663898468018,140.04296875,21.30067535309188,14.452343325143909,994.5941243489583,2.7402816772461165,6.369592285156273,0.6018310546875227,4.320015207926455,91.45684178670247,95.04687452316284,20.18671571020316,13.156499871374189,994.0659700520832,2.794367726643884
2026-02-17,7.121545410156273,2.4544921875000227,5.148910776774112,79.82096354166667,88.82248425483704,30.30248324246171,18.305518481092523,1004.6345768229168,1.7539039611816634,6.857476806640648,2.7385498046875227,5.092427825927757,82.42484060923259,115.41341090202332,31.00240741605788,20.012301020527307,1004.961279296875,1.7954345703125227,7.048974609375023,3.3312316894531477,5.162002817789737,80.81326866149902,95.73676240444183,31.31775355232862,19.805595725327755,1005.5137337239582,1.8800458272298215,7.138726806640648,3.2807861328125227,5.17175699869794,81.80084419250488,70.70399267040193,31.326592705036443,19.030883631569182,1005.501025390625,2.1425020853678802
2026-02-18,2.5728698730468977,-0.47629394531247726,0.8886988321940331,97.91606998443604,78.9917528629303,24.65635454206954,15.55711594410639,1010.8739127604167,-2.9381838480631473,2.8524108886718977,-0.31198730468747726,1.007801310221377,98.25861740112305,42.63802099227905,27.05636439558454,15.32585946532482,1010.3589192708333,-2.5679204305012604,3.1008850097656477,-0.26569213867185226,1.2387036641439029,96.75359884897868,23.005859076976776,27.301298350115506,16.069427427744113,1010.3124251302083,-1.9484504699706804,3.0173278808593977,0.28542480468752274,1.357380167643252,91.54441531499226,0.059244791977107525,27.31945011458439,15.711126835146251,1010.899912109375,-2.0426912943522098
2026-02-19,2.9014221191406477,0.07021484375002274,1.3505760192871321,96.53994846343994,42.559462344506755,27.652373991219317,22.671757132898275,1003.2880338541668,-1.3751803080240848,3.3396240234375227,0.28334960937502274,1.5955736796061426,95.74575901031494,91.63085960317403,27.656459788647005,21.970735026945007,1002.9073404947917,-1.101554616292276,2.5335021972656477,0.06279907226564774,1.0933204650879134,93.6592976252238,125.30056378385052,28.090779769600342,22.221547021296686,1002.3639583333332,-1.5443634033202898,3.2129760742187727,0.37807617187502274,1.3906506856282779,92.65374596913655,61.21061256364919,28.342866225876868,22.055763804806066,1002.7409147135418,-1.8628550211588504
2026-02-20,8.080163574218773,0.49868164062502274,3.987495676676455,92.76021766662598,47.362629532814026,25.754907697882082,15.131310003004591,1015.701044921875,1.6759938557942746,8.279595947265648,1.0118347167968977,4.365032450358096,98.54889138539632,45.16970479488373,25.442716908598253,15.439522515802517,1015.3782942708333,2.0753583272298215,7.536889648437523,1.4609619140625227,4.6435918172200745,99.24326260884602,18.359374763444066,24.280612882039275,15.4698574159049,1015.2645084635417,2.3750027974446652,8.102777099609398,1.8269287109375227,5.003127034505231,99.02256933848064,24.113498320337385,26.464274033993817,15.848863313772739,1014.510849609375,2.8874247233073334
